grant_title,id,organization,total_amount,group,country,start_month,start_day,start_year,country
THE SPAR GROUP,1,THE SPAR GROUP,2579920.283,Mal,South Africa,1,1,3,South Africa
MAVENIR,2,MAVENIR,2430594.979,Mal,Unnamed,2,2,2,Unnamed
Unnamed NATIONAL POLICE,3,Unnamed NATIONAL POLICE,2140189.703,Mal,Unnamed,3,3,1,Unnamed
BANK HAPOALIM B M,4,BANK HAPOALIM B M,1403814.652,HiPo,Unnamed,4,4,1,Unnamed
ELBIT SYSTEMS LTD,5,ELBIT SYSTEMS LTD,1386948.199,Mal,Unnamed,5,5,1,Unnamed
TELKOM SA LTD,6,TELKOM SA LTD,1220610.115,Mal,South Africa,6,6,1,South Africa
Emirates Airline - dnata,7,Emirates Airline - dnata,1142216.702,HiPo,Gulf,7,7,1,Gulf
ALEXANDER FORBES LTD,8,ALEXANDER FORBES LTD,1111111.158,Mal,South Africa,8,8,2,South Africa
Saudi Arabian Monetary Agency (SAMA),9,Saudi Arabian Monetary Agency (SAMA),1028062.184,Mal,Saudi Arabia,9,9,1,Saudi Arabia
Banque Saudi Fransi,10,Banque Saudi Fransi,947963.4577,Mal,Saudi Arabia,10,10,2,Saudi Arabia
Aramex International,11,Aramex International,843162.5876,Mal,NEPA Emerging Region,11,11,1,NEPA Emerging Region
NICE SYSTEMS LTD,12,NICE SYSTEMS LTD,785514.0509,HiPo,Unnamed,12,12,1,Unnamed
CHECK POINT SOFTWARE TECHNOLOGIES LTD,13,CHECK POINT SOFTWARE TECHNOLOGIES LTD,773552.2471,Mal,Unnamed,13,13,2,Unnamed
Unnamed ELECTRIC COMPANY,14,Unnamed ELECTRIC COMPANY,773450.2555,HiPo,Unnamed,14,14,1,Unnamed
MOD,15,MOD,742477.7905,HiPo,Unnamed,15,15,1,Unnamed
SASOL LTD,16,SASOL LTD,733813.5407,HiPo,South Africa,16,16,1,South Africa
TRANSNET LTD,17,TRANSNET LTD,721217.3679,HiPo,South Africa,17,17,1,South Africa
CLAL BIT SYSTEMS LTD,18,CLAL BIT SYSTEMS LTD,713870.82,Mal,Unnamed,18,18,2,Unnamed
DEPARTMENT OF RURAL DEVELOPMENT AND LAND REFORM,19,DEPARTMENT OF RURAL DEVELOPMENT AND LAND REFORM,687783.3722,Mal,South Africa,19,19,2,South Africa
MUNICIPALITY OF JERUSALEM,20,MUNICIPALITY OF JERUSALEM,603845.3673,Mal,Unnamed,20,20,1,Unnamed
KUVEYT TÜRK KATILIM BANKASI A.?.,21,KUVEYT TÜRK KATILIM BANKASI A.?.,574000.039,Mal,Turkey,21,21,1,Turkey
TNUVA COMPUTERS,22,TNUVA COMPUTERS,569466.9733,Mal,Unnamed,22,22,2,Unnamed
Banque Centrale Populaire,23,Banque Centrale Populaire,563301.1174,Mal,NEPA Emerging Region,23,23,2,NEPA Emerging Region
BIAT,24,BIAT,560380.6742,Mal,NEPA Emerging Region,24,24,2,NEPA Emerging Region
IPA (Institute of Public Administration),25,IPA (Institute of Public Administration),531795.5141,Mal,Saudi Arabia,25,25,3,Saudi Arabia
Islamic Development Bank - IDB,26,Islamic Development Bank - IDB,512898.6696,Mal,Saudi Arabia,26,26,2,Saudi Arabia
NAMPAK PTY LTD,27,NAMPAK PTY LTD,502471.9756,Mal,South Africa,27,27,2,South Africa
Abdul Latif Jameel Company Ltd.,28,Abdul Latif Jameel Company Ltd.,485533.55,Mal,Saudi Arabia,28,28,2,Saudi Arabia
Almarai Trading Company Ltd,29,Almarai Trading Company Ltd,462401.0674,Mal,Saudi Arabia,29,29,2,Saudi Arabia
ISCAR LTD,30,ISCAR LTD,451701.6174,Mal,Unnamed,30,30,2,Unnamed
Ministry of Interior - MOI,31,Ministry of Interior - MOI,440270.0298,Mal,Saudi Arabia,31,31,1,Saudi Arabia
Ministry of Education - Jordan,32,Ministry of Education - Jordan,439300.004,Mal,NEPA Emerging Region,32,32,3,NEPA Emerging Region
NETAFIM (A C S ) LTD,33,NETAFIM (A C S ) LTD,406825.6081,Mal,Unnamed,33,33,2,Unnamed
Pakistan Petroleum Ltd.,34,Pakistan Petroleum Ltd.,402228.6789,Mal,NEPA Emerging Region,34,34,2,NEPA Emerging Region
SANLAM LTD,35,SANLAM LTD,394315.0125,Mal,South Africa,35,35,2,South Africa
Sappi Ltd,36,Sappi Ltd,386026.7195,Mal,South Africa,36,36,2,South Africa
Saudi Arabian National Guard - SANG,37,Saudi Arabian National Guard - SANG,365045.2691,Mal,Saudi Arabia,37,37,2,Saudi Arabia
MUNICIPALITY OF TEL-AVIV,38,MUNICIPALITY OF TEL-AVIV,343699.47,Mal,Unnamed,38,38,1,Unnamed
WOOLWORTHS PTY LTD,39,WOOLWORTHS PTY LTD,339276.4641,Mal,South Africa,39,39,2,South Africa
TOFA? TÜRK OTOMOB?L FABR?KASI A.?.,40,TOFA? TÜRK OTOMOB?L FABR?KASI A.?.,323088.097,Mal,Turkey,40,40,1,Turkey
ABSA BANK LTD,41,ABSA BANK LTD,316151.8163,HiPo,South Africa,41,41,1,South Africa
ANADOLU ENDÜSTR? HOLD?NG A.?.,42,ANADOLU ENDÜSTR? HOLD?NG A.?.,315473.1123,Mal,Turkey,42,42,1,Turkey
Attijariwafa Bank,43,Attijariwafa Bank,314367.0302,Mal,NEPA Emerging Region,43,43,1,NEPA Emerging Region
Juhayna Food Industries,44,Juhayna Food Industries,304886.9208,Mal,Egypt,44,44,2,Egypt
Adama,45,Adama,289244.7014,Mal,Unnamed,45,45,1,Unnamed
CELLCOM Unnamed LTD,46,CELLCOM Unnamed LTD,283292.13,Mal,Unnamed,46,46,2,Unnamed
HIGHER COLLEGES OF TECHNOLOGY,47,HIGHER COLLEGES OF TECHNOLOGY,281406.0958,Mal,Gulf,47,47,3,Gulf
CLALIT HEALTH SERVICES,48,CLALIT HEALTH SERVICES,262348.4914,Mal,Unnamed,48,48,1,Unnamed
EDCON,49,EDCON,262137.8066,Mal,South Africa,49,49,2,South Africa
MALAM SYSTEMS LTD,50,MALAM SYSTEMS LTD,261067.6552,Mal,Unnamed,50,50,3,Unnamed
Medical Research Council,51,Medical Research Council,259021.8345,Mal,South Africa,51,51,3,South Africa
Orascom Construction Industries-OCI,52,Orascom Construction Industries-OCI,256884.4449,Mal,Egypt,52,52,2,Egypt
AKBANK T.A.?.,53,AKBANK T.A.?.,251584.9572,Mal,Turkey,53,53,1,Turkey
LEUMICARD,54,LEUMICARD,248657.4093,Mal,Unnamed,54,54,2,Unnamed
American University of Beirut,55,American University of Beirut,244553.1255,Mal,NEPA Emerging Region,55,55,2,NEPA Emerging Region
Engen Ltd,56,Engen Ltd,239174.2663,Mal,South Africa,56,56,2,South Africa
THE STANDARD BANK OF SOUTH AFRICA LTD,57,THE STANDARD BANK OF SOUTH AFRICA LTD,221251.9176,HiPo,South Africa,57,57,1,South Africa
YAPI KRED? BANKASI A.?.,58,YAPI KRED? BANKASI A.?.,220345.7943,Mal,Turkey,58,58,2,Turkey
Saudi Industrial Development Fund (SIDF),59,Saudi Industrial Development Fund (SIDF),218096.2262,Mal,Saudi Arabia,59,59,3,Saudi Arabia
Buffalo City Municipality,60,Buffalo City Municipality,191785.6171,Mal,South Africa,60,60,2,South Africa
MATRIX IT - FORMULA,61,MATRIX IT - FORMULA,190683.4051,Mal,Unnamed,61,61,3,Unnamed
REFAEL,62,REFAEL,187963.1945,Mal,Unnamed,62,62,2,Unnamed
TÜRK?YE ???E VE CAM FABR?KALARI A.?. - ???ECAM -,63,TÜRK?YE ???E VE CAM FABR?KALARI A.?. - ???ECAM -,177995.3547,Mal,Turkey,63,63,2,Turkey
NEDBANK LTD,64,NEDBANK LTD,172851.7871,HiPo,South Africa,64,64,1,South Africa
LC WA?K?K? MA?AZACILIK H?ZMETLER? T?C. A. ?.,65,LC WA?K?K? MA?AZACILIK H?ZMETLER? T?C. A. ?.,169114.5996,HiPo,Turkey,65,65,1,Turkey
ABD? ?BRAH?M ?LAÇ SAN. VE T?C. A.?.,66,ABD? ?BRAH?M ?LAÇ SAN. VE T?C. A.?.,166997.5829,Mal,Turkey,66,66,3,Turkey
